,wage,education,experience,age,ethnicity,region,gender,occupation,sector,union,married
474,5.4,16,10,32,cauc,other,female,technical,other,no,yes
475,6.25,18,14,38,cauc,south,male,technical,other,no,yes
476,5.5,16,29,51,cauc,south,male,technical,other,no,yes
477,5,12,4,22,hispanic,other,male,technical,other,no,no
478,6.25,18,27,51,other,other,male,technical,other,no,yes
479,5.75,12,3,21,cauc,other,male,technical,other,no,yes
480,20.5,16,14,36,cauc,south,male,technical,other,yes,yes
481,5,14,0,20,cauc,other,male,technical,construction,no,yes
482,7,18,33,57,cauc,other,male,technical,other,no,yes
483,18,16,38,60,cauc,south,male,technical,other,no,yes
484,12,18,18,42,cauc,other,female,technical,other,yes,yes
485,20.4,17,3,26,cauc,other,male,technical,manufacturing,no,no
486,22.2,18,40,64,cauc,other,female,technical,other,no,no
487,16.42,14,19,39,cauc,other,male,technical,manufacturing,no,no
488,8.63,14,4,24,cauc,other,female,technical,other,no,no
489,19.38,16,11,33,cauc,other,female,technical,other,no,yes
490,14,16,16,38,cauc,other,female,technical,other,no,yes
491,10,14,22,42,cauc,other,male,technical,other,no,yes
492,15.95,17,13,36,cauc,other,female,technical,other,yes,no
493,20,16,28,50,cauc,south,female,technical,other,yes,yes
494,10,16,10,32,cauc,other,female,technical,other,no,yes
495,24.98,16,5,27,cauc,south,female,technical,other,no,no
496,11.25,15,5,26,cauc,other,male,technical,other,no,no
497,22.83,18,37,61,cauc,other,female,technical,manufacturing,no,no
498,10.2,17,26,49,cauc,other,female,technical,other,yes,yes
499,10,16,4,26,cauc,south,female,technical,other,no,yes
500,14,18,31,55,cauc,other,female,technical,other,yes,no
501,12.5,17,13,36,cauc,other,female,technical,other,yes,yes
502,5.79,12,42,60,cauc,other,female,technical,other,no,yes
503,24.98,17,18,41,hispanic,other,male,technical,other,no,yes
504,4.35,12,3,21,cauc,other,female,technical,other,no,yes
505,11.25,17,10,33,cauc,other,female,technical,other,no,no
506,6.67,16,10,32,cauc,other,female,technical,other,yes,no
507,8,16,17,39,hispanic,other,female,technical,other,no,yes
508,18.16,18,7,31,cauc,other,male,technical,other,no,yes
509,12,16,14,36,cauc,other,female,technical,other,no,yes
510,8.89,16,22,44,cauc,other,female,technical,other,yes,yes
511,9.5,17,14,37,cauc,other,female,technical,other,no,yes
512,13.65,16,11,33,cauc,other,male,technical,other,no,yes
513,12,18,23,47,cauc,other,male,technical,other,yes,yes
514,15,12,39,57,cauc,other,male,technical,other,yes,yes
515,12.67,16,15,37,cauc,other,male,technical,other,no,yes
516,7.38,14,15,35,hispanic,other,female,technical,other,no,no
517,15.56,16,10,32,cauc,other,male,technical,other,no,no
518,7.45,12,25,43,cauc,south,female,technical,other,no,no
519,6.25,14,12,32,cauc,other,female,technical,other,no,yes
520,6.25,16,7,29,hispanic,south,female,technical,other,no,yes
521,9.37,17,7,30,cauc,other,male,technical,other,yes,yes
522,22.5,16,17,39,cauc,other,male,technical,manufacturing,no,yes
523,7.5,16,10,32,cauc,other,male,technical,other,yes,yes
524,7,17,2,25,cauc,south,male,technical,other,no,yes
525,5.75,9,34,49,other,south,female,technical,other,yes,yes
526,7.67,15,11,32,cauc,other,female,technical,other,no,yes
527,12.5,15,10,31,cauc,other,male,technical,other,no,no
528,16,12,12,30,cauc,south,male,technical,other,no,yes
529,11.79,16,6,28,cauc,other,female,technical,other,yes,no
530,11.36,18,5,29,cauc,other,male,technical,other,no,no
531,6.1,12,33,51,other,other,female,technical,other,no,yes
532,23.25,17,25,48,other,other,female,technical,other,yes,yes
533,19.88,12,13,31,cauc,south,male,technical,other,yes,yes
534,15.38,16,33,55,cauc,other,male,technical,manufacturing,no,yes
